drivetrain,mpg,fuel_type,mileage,price,brand,year,engine_size,cylinders,transmission_type,gears,boost,model,price_log,boost_supercharged,boost_turbo,transmission_type_manual,brand_BMW,brand_Merc,fuel_type_Electric,fuel_type_Gasoline,fuel_type_Hybrid,drivetrain_FWD,drivetrain_RWD
AWD,19.5,Gasoline,8220,74987.0,Merc,2019,3.0,6.0,automatic,9.0,turbo, AMG GLE 43 4MATIC Coupe,11.225070044161155,0,1,0,0,1,0,1,0,0,0
AWD,19.0,Gasoline,47897,35990.0,Merc,2015,3.0,6.0,automatic,7.0,turbo, GL-Class GL 450 4MATIC,10.490996401073076,0,1,0,0,1,0,1,0,0,0
AWD,20.0,Gasoline,39923,41923.0,Merc,2018,3.5,6.0,automatic,7.0,none, GLE 350 Base 4MATIC,10.643589881319777,0,0,0,0,1,0,1,0,0,0
AWD,22.5,Gasoline,14383,64885.0,Merc,2020,2.0,4.0,automatic,9.0,turbo, GLE 350 Base 4MATIC,11.08037175117133,0,1,0,0,1,0,1,0,0,0
AWD,26.5,Gasoline,65640,45795.0,Merc,2018,2.0,4.0,automatic,7.0,turbo, AMG CLA 45 Base 4MATIC,10.731930193837089,0,1,0,0,1,0,1,0,0,0
AWD,27.5,Gasoline,18802,34265.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, C-Class C 300 4MATIC,10.441879704019923,0,1,0,0,1,0,1,0,0,0
AWD,19.5,Gasoline,46006,67888.0,Merc,2018,3.0,6.0,automatic,9.0,turbo, AMG GLE 43 Coupe 4MATIC,11.125614567442106,0,1,0,0,1,0,1,0,0,0
AWD,20.0,Gasoline,46437,45799.0,Merc,2019,3.0,6.0,automatic,9.0,turbo, GLE 400 Base 4MATIC,10.732017535802774,0,1,0,0,1,0,1,0,0,0
AWD,16.0,Gasoline,11725,97995.0,Merc,2019,5.5,8.0,automatic,7.0,turbo, AMG GLE 63 S 4MATIC Coupe,11.49267173594296,0,1,0,0,1,0,1,0,0,0
AWD,22.0,Gasoline,24423,104995.0,Merc,2018,4.0,8.0,automatic,9.0,turbo, AMG E 63 S 4MATIC,11.561668008958218,0,1,0,0,1,0,1,0,0,0
AWD,19.5,Gasoline,32175,68387.0,Merc,2018,3.0,6.0,automatic,9.0,turbo, AMG GLE 43 Coupe 4MATIC,11.132938027067707,0,1,0,0,1,0,1,0,0,0
RWD,22.0,Gasoline,80123,19991.0,Merc,2015,3.5,6.0,automatic,7.0,none, GLK-Class GLK 350,9.903037451255743,0,0,0,0,1,0,1,0,0,1
AWD,21.0,Gasoline,70853,44995.0,Merc,2015,4.7,8.0,automatic,7.0,turbo, S-Class S 550 4MATIC,10.714306651468048,0,1,0,0,1,0,1,0,0,0
AWD,20.0,Gasoline,35814,56990.0,Merc,2017,3.0,6.0,automatic,9.0,turbo, AMG GLE 43 Coupe 4MATIC,10.950631092829044,0,1,0,0,1,0,1,0,0,0
AWD,25.0,Gasoline,46325,36459.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, E-Class E 300,10.50394362053891,0,1,0,0,1,0,1,0,0,0
FWD,28.5,Gasoline,36811,32977.0,Merc,2018,2.0,4.0,automatic,7.0,turbo, GLA 250 Base,10.403565627755354,0,1,0,0,1,0,1,0,1,0
